Player,PER,Player Name,Height,Weight,Age,School,Team Name,City,Birth Month
Svi Mykhailiuk,9.6,Svi Mykhailiuk,79.0,205.0,25.0,Kansas,Toronto Raptors,Toronto,JUN
Larry Nance Jr.,14.4,Larry Nance Jr.,79.0,245.0,29.0,Wyoming,New Orleans Pelicans,New Orleans,JAN
RJ Nembhard Jr.,8.0,RJ Nembhard Jr.,76.0,200.0,23.0,Texas Christian,Cleveland Cavaliers,Cleveland,MAR
Aaron Nesmith,7.3,Aaron Nesmith,77.0,215.0,22.0,Vanderbilt,Boston Celtics,Boston,OCT
Raul Neto,12.4,Raul Neto,74.0,180.0,30.0,Murcia,Washington Wizards,Washington,MAY
Georges Niang,10.7,Georges Niang,79.0,230.0,29.0,Iowa State,Philadelphia 76ers,Philadelphia,JUN
Daishen Nix,8.1,Daishen Nix,76.0,226.0,20.0,NBA G League Ignite,Houston Rockets,Houston,FEB
Zeke Nnaji,13.5,Zeke Nnaji,81.0,240.0,21.0,Arizona,Denver Nuggets,Denver,JAN
Nerlens Noel,11.8,Nerlens Noel,83.0,220.0,28.0,Kentucky,New York Knicks,New York,APR
Jaylen Nowell,16.8,Jaylen Nowell,76.0,201.0,22.0,Washington,Minnesota Timberwolves,Minnesota,JUL
Frank Ntilikina,10.4,Frank Ntilikina,76.0,200.0,23.0,Strasbourg IG,Dallas Mavericks,Dallas,JUL
David Nwaba,15.3,David Nwaba,77.0,219.0,29.0,Cal Poly-Obispo,Houston Rockets,Houston,JAN
Jordan Nwora,9.9,Jordan Nwora,80.0,225.0,23.0,Louisville,Milwaukee Bucks,Milwaukee,SEP
Royce O'Neale,10.3,Royce O'Neale,77.0,226.0,29.0,Baylor,Utah Jazz,Utah,JUN
Chuma Okeke,12.0,Chuma Okeke,78.0,229.0,23.0,Auburn,Orlando Magic,Orlando,AUG
Josh Okogie,9.0,Josh Okogie,76.0,213.0,23.0,Georgia Tech,Minnesota Timberwolves,Minnesota,SEP
Onyeka Okongwu,19.8,Onyeka Okongwu,80.0,240.0,21.0,Southern California,Atlanta Hawks,Atlanta,DEC
Isaac Okoro,10.4,Isaac Okoro,77.0,225.0,21.0,Auburn,Cleveland Cavaliers,Cleveland,JAN
Victor Oladipo,16.8,Victor Oladipo,76.0,213.0,30.0,Indiana,Miami Heat,Miami,MAY
Kelly Olynyk,16.7,Kelly Olynyk,83.0,240.0,31.0,Gonzaga,Detroit Pistons,Detroit,APR
Cedi Osman,13.3,Cedi Osman,79.0,230.0,27.0,Anadolu Efes,Cleveland Cavaliers,Cleveland,APR
Kelly Oubre Jr.,14.9,Kelly Oubre Jr.,78.0,203.0,26.0,Kansas,Charlotte Hornets,Charlotte,DEC
Eric Paschall,13.9,Eric Paschall,78.0,255.0,25.0,Villanova,Utah Jazz,Utah,NOV
Chris Paul,20.8,Chris Paul,72.0,175.0,37.0,Wake Forest,Phoenix Suns,Phoenix,MAY
Cameron Payne,13.8,Cameron Payne,73.0,183.0,27.0,Murray State,Phoenix Suns,Phoenix,AUG
Elfrid Payton,7.9,Elfrid Payton,75.0,195.0,28.0,Louisana-Lafayette,Phoenix Suns,Phoenix,FEB
Gary Payton II,17.8,Gary Payton II,75.0,195.0,29.0,Oregon State,Golden State Warriors,Golden State,DEC
Jamorko Pickett,7.6,Jamorko Pickett,81.0,206.0,24.0,Georgetown,Detroit Pistons,Detroit,DEC
Theo Pinson,11.9,Theo Pinson,77.0,212.0,26.0,North Carolina,Dallas Mavericks,Dallas,NOV
Mason Plumlee,14.7,Mason Plumlee,83.0,254.0,32.0,Duke,Charlotte Hornets,Charlotte,MAR
Jakob Poeltl,20.8,Jakob Poeltl,85.0,245.0,26.0,Utah,San Antonio Spurs,San Antonio,OCT
Aleksej Pokusevski,12.0,Aleksej Pokusevski,84.0,190.0,20.0,Olympiacos,Oklahoma City Thunder,Oklahoma City,DEC
Yves Pons,5.9,Yves Pons,77.0,206.0,23.0,Tennessee,Memphis Grizzlies,Memphis,MAY
Jordan Poole,16.1,Jordan Poole,76.0,194.0,23.0,Michigan,Golden State Warriors,Golden State,JUN
Kevin Porter Jr.,13.5,Kevin Porter Jr.,76.0,203.0,22.0,Southern California,Houston Rockets,Houston,MAY
Michael Porter Jr.,7.5,Michael Porter Jr.,82.0,218.0,24.0,Missouri,Denver Nuggets,Denver,JUN
Otto Porter Jr.,15.9,Otto Porter Jr.,80.0,198.0,29.0,Georgetown,Golden State Warriors,Golden State,JUN
Bobby Portis,17.7,Bobby Portis,82.0,250.0,27.0,Arkansas,Milwaukee Bucks,Milwaukee,FEB
Dwight Powell,18.1,Dwight Powell,82.0,240.0,30.0,Stanford,Dallas Mavericks,Dallas,JUL
Myles Powell,0.2,Myles Powell,74.0,195.0,24.0,Seton Hall,Philadelphia 76ers,Philadelphia,JUL
Norman Powell,16.3,Norman Powell,75.0,215.0,29.0,UCLA,Los Angeles Clippers,Los Angeles,MAY
Joshua Primo,7.1,Joshua Primo,76.0,189.0,19.0,Alabama,San Antonio Spurs,San Antonio,DEC
Taurean Prince,12.4,Taurean Prince,78.0,218.0,28.0,Baylor,Minnesota Timberwolves,Minnesota,MAR
Payton Pritchard,15.0,Payton Pritchard,73.0,195.0,24.0,Oregon,Boston Celtics,Boston,JAN
Trevelin Queen,18.2,Trevelin Queen,78.0,190.0,25.0,New Mexico State,Houston Rockets,Houston,FEB
Neemias Queta,12.7,Neemias Queta,84.0,248.0,22.0,Utah State,Sacramento Kings,Sacramento,JUL
Immanuel Quickley,14.6,Immanuel Quickley,75.0,190.0,23.0,Kentucky,New York Knicks,New York,JUN
Julius Randle,15.7,Julius Randle,80.0,250.0,27.0,Kentucky,New York Knicks,New York,NOV
Austin Reaves,11.5,Austin Reaves,77.0,197.0,24.0,Oklahoma,Los Angeles Lakers,Los Angeles,MAY
Cam Reddish,12.8,Cam Reddish,80.0,217.0,22.0,Duke,New York Knicks,New York,SEP
Davon Reed,12.2,Davon Reed,77.0,206.0,27.0,Miami,Denver Nuggets,Denver,JUN
Paul Reed,21.4,Paul Reed,81.0,210.0,23.0,DePaul,Philadelphia 76ers,Philadelphia,JUN
Naz Reid,17.2,Naz Reid,81.0,264.0,22.0,Louisiana State,Minnesota Timberwolves,Minnesota,AUG
Nick Richards,15.9,Nick Richards,84.0,245.0,24.0,Kentucky,Charlotte Hornets,Charlotte,NOV
Josh Richardson,12.8,Josh Richardson,77.0,200.0,28.0,Tennessee,San Antonio Spurs,San Antonio,SEP
Austin Rivers,7.2,Austin Rivers,76.0,200.0,29.0,Duke,Denver Nuggets,Denver,AUG
Duncan Robinson,10.6,Duncan Robinson,79.0,215.0,28.0,Michigan,Miami Heat,Miami,APR
Mitchell Robinson,20.7,Mitchell Robinson,84.0,240.0,24.0,Western Kentucky,New York Knicks,New York,APR
Jeremiah Robinson-Earl,11.7,Jeremiah Robinson-Earl,80.0,242.0,21.0,Villanova,Oklahoma City Thunder,Oklahoma City,NOV
Isaiah Roby,18.3,Isaiah Roby,80.0,230.0,24.0,Nebraska,Oklahoma City Thunder,Oklahoma City,FEB
Rajon Rondo,10.9,Rajon Rondo,73.0,180.0,36.0,Kentucky,Cleveland Cavaliers,Cleveland,FEB
Derrick Rose,16.9,Derrick Rose,74.0,200.0,33.0,Memphis,New York Knicks,New York,OCT
Terrence Ross,10.0,Terrence Ross,78.0,206.0,31.0,Washington,Orlando Magic,Orlando,FEB
Terry Rozier,17.6,Terry Rozier,73.0,190.0,28.0,Louisville,Charlotte Hornets,Charlotte,MAR
Ricky Rubio,14.0,Ricky Rubio,74.0,190.0,31.0,FC Barcelona,Indiana Pacers,Indiana,OCT
D'Angelo Russell,16.3,D'Angelo Russell,76.0,193.0,26.0,Ohio State,Minnesota Timberwolves,Minnesota,FEB
Matt Ryan,3.5,Matt Ryan,79.0,215.0,25.0,Tennessee-Chattanooga,Boston Celtics,Boston,APR
Domantas Sabonis,21.9,Domantas Sabonis,83.0,240.0,26.0,Gonzaga,Sacramento Kings,Sacramento,MAY
Jordan Schakel,-1.2,Jordan Schakel,78.0,200.0,24.0,San Diego State,Washington Wizards,Washington,JUN
Admiral Schofield,7.5,Admiral Schofield,77.0,241.0,25.0,Tennessee,Orlando Magic,Orlando,MAR
Jay Scrubb,9.3,Jay Scrubb,77.0,220.0,21.0,John A. Logan,Los Angeles Clippers,Los Angeles,SEP
Collin Sexton,11.2,Collin Sexton,73.0,190.0,23.0,Alabama,Cleveland Cavaliers,Cleveland,JAN
Landry Shamet,10.2,Landry Shamet,76.0,190.0,25.0,Wichita State,Phoenix Suns,Phoenix,MAR
Day'Ron Sharpe,20.7,Day'Ron Sharpe,81.0,265.0,20.0,North Carolina,Brooklyn Nets,Brooklyn,NOV
Pascal Siakam,20.3,Pascal Siakam,80.0,230.0,28.0,New Mexico State,Toronto Raptors,Toronto,APR
Marko Simonovic,10.2,Marko Simonovic,83.0,220.0,22.0,Mega Basket,Chicago Bulls,Chicago,OCT
Anfernee Simons,15.3,Anfernee Simons,75.0,181.0,23.0,Edgewater HS (FL),Portland Trail Blazers,Portland,JUN
Jericho Sims,11.6,Jericho Sims,81.0,250.0,23.0,Texas,New York Knicks,New York,OCT
Javonte Smart,5.1,Javonte Smart,76.0,205.0,23.0,Louisiana State,Miami Heat,Miami,JUN
Marcus Smart,13.6,Marcus Smart,76.0,220.0,28.0,Oklahoma State,Boston Celtics,Boston,MAR
Ish Smith,12.5,Ish Smith,72.0,175.0,33.0,Wake Forest,Washington Wizards,Washington,JUL
Jalen Smith,18.4,Jalen Smith,82.0,215.0,22.0,Maryland,Indiana Pacers,Indiana,MAR
Xavier Sneed,0.4,Xavier Sneed,77.0,215.0,24.0,Kansas State,Utah Jazz,Utah,DEC
Tony Snell,6.3,Tony Snell,78.0,213.0,30.0,New Mexico,New Orleans Pelicans,New Orleans,NOV
Jaden Springer,26.4,Jaden Springer,76.0,202.0,19.0,Tennessee,Philadelphia 76ers,Philadelphia,SEP
Nik Stauskas,10.5,Nik Stauskas,78.0,207.0,28.0,Michigan,Boston Celtics,Boston,OCT
Lance Stephenson,13.6,Lance Stephenson,77.0,210.0,31.0,Cincinnati,Indiana Pacers,Indiana,SEP
Lamar Stevens,11.3,Lamar Stevens,78.0,230.0,24.0,Penn State,Cleveland Cavaliers,Cleveland,JUL
Isaiah Stewart,14.0,Isaiah Stewart,80.0,250.0,21.0,Washington,Detroit Pistons,Detroit,MAY
Max Strus,12.7,Max Strus,77.0,215.0,26.0,DePaul,Miami Heat,Miami,MAR
Jalen Suggs,8.6,Jalen Suggs,77.0,205.0,21.0,Gonzaga,Orlando Magic,Orlando,JUN
Jae'Sean Tate,14.3,Jae'Sean Tate,76.0,230.0,26.0,Ohio State,Houston Rockets,Houston,OCT
Jayson Tatum,21.8,Jayson Tatum,80.0,210.0,24.0,Duke,Boston Celtics,Boston,MAR
Terry Taylor,19.0,Terry Taylor,77.0,230.0,22.0,Austin Peay,Indiana Pacers,Indiana,SEP
Garrett Temple,8.6,Garrett Temple,77.0,195.0,36.0,Louisiana State,New Orleans Pelicans,New Orleans,MAY
Tyrell Terry,20.0,Tyrell Terry,74.0,160.0,21.0,Stanford,Memphis Grizzlies,Memphis,SEP
Daniel Theis,13.2,Daniel Theis,81.0,245.0,30.0,Brose Bamberg,Boston Celtics,Boston,APR
Brodric Thomas,10.0,Brodric Thomas,77.0,185.0,25.0,,Boston Celtics,Boston,JAN
Cam Thomas,11.7,Cam Thomas,75.0,210.0,20.0,Louisiana State,Brooklyn Nets,Brooklyn,OCT
Isaiah Thomas,12.0,Isaiah Thomas,69.0,185.0,33.0,Washington,Charlotte Hornets,Charlotte,FEB
Matt Thomas,9.9,Matt Thomas,75.0,190.0,27.0,Iowa State,Chicago Bulls,Chicago,AUG
Klay Thompson,16.7,Klay Thompson,78.0,220.0,32.0,Washington State,Golden State Warriors,Golden State,FEB
Tristan Thompson,14.9,Tristan Thompson,81.0,254.0,31.0,University of Texas at Austin,Chicago Bulls,Chicago,MAR
JT Thor,9.7,JT Thor,81.0,203.0,19.0,Auburn,Charlotte Hornets,Charlotte,AUG
Matisse Thybulle,11.2,Matisse Thybulle,77.0,201.0,25.0,Washington,Philadelphia 76ers,Philadelphia,MAR
Killian Tillie,7.6,Killian Tillie,81.0,220.0,24.0,Gonzaga,Memphis Grizzlies,Memphis,MAR
Isaiah Todd,4.7,Isaiah Todd,81.0,219.0,20.0,NBA G League Ignite,Washington Wizards,Washington,OCT
Obi Toppin,18.3,Obi Toppin,81.0,220.0,24.0,Dayton,New York Knicks,New York,MAR
Juan Toscano-Anderson,11.0,Juan Toscano-Anderson,78.0,209.0,29.0,Marquette,Golden State Warriors,Golden State,APR
Karl-Anthony Towns,24.1,Karl-Anthony Towns,83.0,248.0,26.0,Kentucky,Minnesota Timberwolves,Minnesota,NOV
Gary Trent Jr.,14.7,Gary Trent Jr.,77.0,209.0,23.0,Duke,Toronto Raptors,Toronto,JAN
P.J. Tucker,11.3,P.J. Tucker,77.0,245.0,37.0,Texas,Miami Heat,Miami,MAY
Rayjon Tucker,17.7,Rayjon Tucker,75.0,209.0,24.0,Arkansas-Little Rock,Milwaukee Bucks,Milwaukee,SEP
Myles Turner,17.4,Myles Turner,83.0,250.0,26.0,Texas,Indiana Pacers,Indiana,MAR
Jarred Vanderbilt,15.3,Jarred Vanderbilt,81.0,214.0,23.0,Kentucky,Minnesota Timberwolves,Minnesota,APR
Fred VanVleet,17.3,Fred VanVleet,73.0,197.0,28.0,Wichita State,Toronto Raptors,Toronto,FEB
Devin Vassell,13.3,Devin Vassell,77.0,200.0,21.0,Florida State,San Antonio Spurs,San Antonio,AUG
Gabe Vincent,10.6,Gabe Vincent,75.0,200.0,26.0,California-Santa Barbara,Miami Heat,Miami,JUN
Dean Wade,10.1,Dean Wade,81.0,228.0,25.0,Kansas State,Cleveland Cavaliers,Cleveland,NOV
Franz Wagner,14.7,Franz Wagner,82.0,220.0,20.0,Michigan,Orlando Magic,Orlando,AUG
Moritz Wagner,18.1,Moritz Wagner,83.0,245.0,25.0,Michigan,Orlando Magic,Orlando,APR
Ish Wainright,9.4,Ish Wainright,77.0,250.0,27.0,Baylor,Phoenix Suns,Phoenix,SEP
Kemba Walker,13.9,Kemba Walker,72.0,184.0,32.0,Connecticut,New York Knicks,New York,MAY
Lonnie Walker IV,12.3,Lonnie Walker IV,76.0,204.0,23.0,Miami,San Antonio Spurs,San Antonio,DEC
Duane Washington Jr.,10.2,Duane Washington Jr.,75.0,197.0,22.0,Ohio State,Indiana Pacers,Indiana,MAR
P.J. Washington,13.6,P.J. Washington,79.0,230.0,23.0,Kentucky,Charlotte Hornets,Charlotte,AUG
Yuta Watanabe,11.5,Yuta Watanabe,81.0,215.0,27.0,George Washington,Toronto Raptors,Toronto,OCT
Lindy Waters III,13.0,Lindy Waters III,78.0,215.0,24.0,Oklahoma State,Oklahoma City Thunder,Oklahoma City,JUL
Trendon Watford,15.8,Trendon Watford,80.0,237.0,21.0,Louisiana State,Portland Trail Blazers,Portland,NOV
Quinndary Weatherspoon,12.0,Quinndary Weatherspoon,75.0,205.0,25.0,Mississippi State,Golden State Warriors,Golden State,SEP
Russell Westbrook,15.0,Russell Westbrook,75.0,200.0,33.0,UCLA,Los Angeles Lakers,Los Angeles,NOV
Coby White,12.6,Coby White,76.0,195.0,22.0,North Carolina,Chicago Bulls,Chicago,FEB
Derrick White,14.8,Derrick White,76.0,190.0,27.0,Colorado,Boston Celtics,Boston,JUL
Hassan Whiteside,22.9,Hassan Whiteside,84.0,265.0,33.0,Marshall,Utah Jazz,Utah,JUN
Joe Wieskamp,7.1,Joe Wieskamp,78.0,205.0,22.0,Iowa,San Antonio Spurs,San Antonio,AUG
Aaron Wiggins,10.3,Aaron Wiggins,76.0,190.0,23.0,Maryland,Oklahoma City Thunder,Oklahoma City,JAN
Andrew Wiggins,15.0,Andrew Wiggins,79.0,197.0,27.0,Kansas,Golden State Warriors,Golden State,FEB
Lindell Wigginton,10.2,Lindell Wigginton,73.0,189.0,24.0,Iowa State,Milwaukee Bucks,Milwaukee,MAR
Brandon Williams,11.0,Brandon Williams,74.0,190.0,22.0,Arizona,Portland Trail Blazers,Portland,NOV
Grant Williams,11.2,Grant Williams,78.0,236.0,23.0,Tennessee,Boston Celtics,Boston,NOV
Kenrich Williams,13.3,Kenrich Williams,78.0,210.0,27.0,TCU,Oklahoma City Thunder,Oklahoma City,DEC
Lou Williams,12.1,Lou Williams,74.0,175.0,35.0,South Gwinnett HS (GA),Atlanta Hawks,Atlanta,OCT
Patrick Williams,12.7,Patrick Williams,79.0,215.0,20.0,Florida State,Chicago Bulls,Chicago,AUG
Ziaire Williams,9.7,Ziaire Williams,81.0,185.0,20.0,Stanford,Memphis Grizzlies,Memphis,SEP
Dylan Windler,8.8,Dylan Windler,78.0,196.0,25.0,Belmont,Cleveland Cavaliers,Cleveland,SEP
Justise Winslow,13.1,Justise Winslow,78.0,222.0,26.0,Duke,Portland Trail Blazers,Portland,MAR
Cassius Winston,6.0,Cassius Winston,73.0,185.0,24.0,Michigan State,Washington Wizards,Washington,FEB
Christian Wood,19.1,Christian Wood,81.0,214.0,26.0,UNLV,Houston Rockets,Houston,SEP
Robert Woodard II,2.1,Robert Woodard II,78.0,235.0,22.0,Mississippi State,San Antonio Spurs,San Antonio,SEP
Delon Wright,13.8,Delon Wright,77.0,185.0,30.0,Utah,Atlanta Hawks,Atlanta,APR
McKinley Wright IV,9.5,McKinley Wright IV,71.0,192.0,23.0,Colorado,Minnesota Timberwolves,Minnesota,OCT
Moses Wright,18.3,Moses Wright,80.0,226.0,23.0,Georgia Tech,Dallas Mavericks,Dallas,DEC
Gabe York,12.7,Gabe York,75.0,190.0,28.0,Arizona,Indiana Pacers,Indiana,AUG
Thaddeus Young,17.0,Thaddeus Young,80.0,235.0,34.0,Georgia Tech,Toronto Raptors,Toronto,JUN
Trae Young,25.4,Trae Young,73.0,164.0,23.0,Oklahoma,Atlanta Hawks,Atlanta,SEP
Omer Yurtseven,17.4,Omer Yurtseven,83.0,275.0,24.0,Georgetown,Miami Heat,Miami,JUN
Ivica Zubac,19.2,Ivica Zubac,84.0,240.0,25.0,Mega Basket,Los Angeles Clippers,Los Angeles,MAR
