,Player,Yrs,From,To,Date,City,Country
0,Bruno Fernando,4,2020,2023,"Aug 15, 1998",Luanda,AO
0,Norvel Pelle,3,2020,2022,"Feb 3, 1993",St. John's,AG
0,Leandro Bolmaro,2,2022,2023,"Sep 11, 2000",Las Varillas,AR
1,Nicolás Brussino,2,2017,2018,"Mar 2, 1993",Santa Fe,AR
2,Facundo Campazzo,3,2021,2023,"Mar 23, 1991",Córdoba,AR
3,Gabriel Deck,2,2021,2022,"Feb 8, 1995",Añatuya,AR
4,Carlos Delfino,8,2005,2013,"Aug 29, 1982",Santa Fe,AR
5,Patricio Garino,1,2017,2017,"May 17, 1993",Buenos Aires,AR
6,Manu Ginóbili*,16,2003,2018,"Jul 28, 1977",Bahia Blanca,AR
7,Walter Herrmann,3,2007,2009,"Jun 26, 1979",Venado Tuerto,AR
8,Nicolás Laprovíttola,1,2017,2017,"Jan 31, 1990",Buenos Aires,AR
9,Andrés Nocioni,8,2005,2012,"Nov 30, 1979",Santa Fe,AR
10,Fabricio Oberto,6,2006,2011,"Mar 21, 1975",Las Varillas,AR
11,Pablo Prigioni,4,2013,2016,"May 17, 1977",Rio Tercero,AR
12,Pepe Sánchez,2,2001,2003,"May 8, 1977",Bahia Blanca,AR
13,Luis Scola,10,2008,2017,"Apr 30, 1980",Buenos Aires,AR
14,Rubén Wolkowyski,2,2001,2003,"Sep 30, 1973",Juan José Castelli,AR
0,David Andersen,2,2010,2011,"Jun 23, 1980",Melbourne,AU
1,Chris Anstey,3,1998,2000,"Jan 1, 1975",Melbourne,AU
2,Cameron Bairstow,2,2015,2016,"Dec 7, 1990",Brisbane,AU
3,Andrew Bogut,14,2006,2019,"Nov 28, 1984",Melbourne,AU
4,Jonah Bolden,2,2019,2020,"Jan 2, 1996",Melbourne,AU
5,Mark Bradtke,1,1997,1997,"Sep 27, 1968",Adelaide,AU
6,Ryan Broekhoff,2,2019,2020,"Aug 23, 1990",Melbourne,AU
7,Mitch Creek,1,2019,2019,"Apr 27, 1992",Horsham,AU
8,Dyson Daniels,1,2023,2023,"Mar 17, 2003",Bendigo,AU
9,Matthew Dellavedova,9,2014,2023,"Sep 8, 1990",Maryborough,AU
10,Dante Exum,6,2015,2021,"Jul 13, 1995",Melbourne,AU
11,Andrew Gaze,2,1994,1999,"Jul 24, 1965",Melbourne,AU
12,Josh Giddey,2,2022,2023,"Oct 10, 2002",Melbourne,AU
13,Josh Green,3,2021,2023,"Nov 16, 2000",Sydney,AU
14,Shane Heal,2,1997,2004,"Sep 6, 1970",Melbourne,AU
15,Isaac Humphries,1,2019,2019,"Jan 5, 1998",Sydney,AU
16,Joe Ingles,8,2015,2022,"Oct 2, 1987",Adelaide,AU
17,Kyrie Irving,12,2012,2023,"Mar 23, 1992",Melbourne,AU
18,Nathan Jawai,2,2009,2010,"Oct 10, 1986",Sydney,AU
19,Jock Landale,2,2022,2023,"Oct 25, 1995",E Malvern,AU
20,,,,,,,AU
21,Luc Longley,10,1992,2001,"Jan 19, 1969",Melbourne,AU
22,Will Magnay,1,2021,2021,"Jun 10, 1998",Brisbane,AU
23,Mangok Mathiang,1,2018,2018,"Oct 8, 1992",Melbourne,AU
24,Patty Mills,14,2010,2023,"Aug 11, 1988",Canberra,AU
25,Chima Moneke,1,2023,2023,"Dec 24, 1995",Canberra,AU
26,Luke Schenscher,2,2006,2007,"Dec 31, 1982",Hope Forest,AU
27,Ben Simmons,5,2018,2023,"Jul 20, 1996",Melbourne,AU
28,Jack White,1,2023,2023,"Aug 5, 1997",Traralgon,AU
0,Jakob Poeltl,7,2017,2023,"Oct 15, 1995",Vienna,AT
0,Deandre Ayton,5,2019,2023,"Jul 23, 1998",Nassau,BS
1,Dexter Cambridge,1,1993,1993,"Jan 29, 1970",Eleuthera,BS
2,Buddy Hield,7,2017,2023,"Dec 17, 1992",Freeport,BS
3,Kai Jones,2,2022,2023,"Jan 19, 2001",Nassau,BS
4,Ian Lockhart,1,1991,1991,"Jun 25, 1967",Nassau,BS
5,Mychal Thompson,12,1979,1991,"Jan 30, 1955",Nassau,BS
0,Xavier Henry,5,2011,2015,"Mar 15, 1991",Gent,BE
1,Frank Ntilikina,5,2018,2022,"Jul 28, 1998",Ixelles,BE
2,Tony Parker,18,2002,2019,"May 17, 1982",Bruges,BE
0,Dragan Bender,4,2017,2020,"Nov 17, 1997",Capljina,BA
1,Bojan Bogdanović,9,2015,2023,"Apr 18, 1989",Mostar,BA
2,Sasha Danilović,2,1996,1997,"Feb 26, 1970",Sarajevo,BA
3,Mile Ilić,1,2007,2007,"Jun 2, 1984",Tuzla,BA
4,Ognjen Kuzmić,2,2014,2015,"May 16, 1990",Doboj,BA
5,Damir Markota,1,2007,2007,"Dec 26, 1985",Sarajevo,BA
6,Džanan Musa,2,2019,2020,"May 8, 1999",Bihac,BA
7,Jusuf Nurkić,9,2015,2023,"Aug 23, 1994",Tuzla,BA
8,Zoran Planinić,3,2004,2006,"Sep 12, 1982",Mostar,BA
9,Vladimir Radmanović,12,2002,2013,"Nov 19, 1980",Trebinje,BA
10,Mirza Teletović,6,2013,2018,"Sep 18, 1985",Mostar,BA
11,Ratko Varda,1,2002,2002,"May 6, 1979",Bosanska Gradiska,BA
12,Ivica Zubac,7,2017,2023,"Mar 18, 1997",Mostar,BA
0,Rafael Araújo,3,2005,2007,"Aug 12, 1980",Curitiba,BR
1,Leandro Barbosa,14,2004,2017,"Nov 28, 1982",Sao Paulo,BR
2,Bruno Caboclo,7,2015,2021,"Sep 21, 1995",Osasco,BR
3,Vítor Luiz Faverani,1,2014,2014,"May 5, 1988",Porto Alegre,BR
4,Cristiano Felício,6,2016,2021,"Jul 7, 1992",Pouso Alegre,BR
5,Rolando Ferreira,1,1989,1989,"May 24, 1964",Curitiba,BR
6,Alex Garcia,2,2004,2005,"Mar 4, 1980",Orlandia,BR
7,Nenê,17,2003,2019,"Sep 13, 1982",Sao Carlos,BR
8,Marcelo Huertas,2,2016,2017,"May 25, 1983",Sao Paulo,BR
9,Didi Louzada,2,2021,2022,"Feb 7, 1999",Cachoeiro de Itapemirim,BR
10,Fab Melo,1,2013,2013,"Jun 20, 1990",Juiz de Fora,BR
11,Raul Neto,8,2016,2023,"May 19, 1992",Belo Horizonte,BR
12,Lucas Nogueira,4,2015,2018,"Jul 26, 1992",Sao Goncalo,BR
13,Tiago Splitter,7,2011,2017,"Jan 1, 1985",Joinville,BR
14,Anderson Varejão,14,2005,2021,"Sep 28, 1982",Santa Teresa,BR
15,João Vianna,1,1992,1992,"Nov 15, 1966",Brasilia,BR
16,Marcus Vinicius,2,2007,2008,"May 31, 1984",Sao Paulo,BR
0,Georgi Glouchkov,1,1986,1986,"Jan 10, 1960",Triavna,BG
0,Ruben Boumtje-Boumtje,3,2002,2004,"May 20, 1978",Edea,CM
1,Joel Embiid,7,2017,2023,"Mar 16, 1994",Yaounde,CM
2,Christian Koloko,1,2023,2023,"Jun 20, 2000",Douala,CM
3,Luc Mbah a Moute,12,2009,2020,"Sep 9, 1986",Yaounde,CM
4,Pascal Siakam,7,2017,2023,"Apr 2, 1994",Douala,CM
0,Kyle Alexander,1,2020,2020,"Oct 21, 1996",Scarborough,CA
1,Nickeil Alexander-Walker,4,2020,2023,"Sep 2, 1998",Toronto,CA
2,Joel Anthony,10,2008,2017,"Aug 9, 1982",Montreal,CA
3,Norm Baker,1,1947,1947,"Feb 17, 1923",Victoria,CA
4,Dalano Banton,2,2022,2023,"Nov 7, 1999",Toronto,CA
5,RJ Barrett,4,2020,2023,"Jun 14, 2000",Toronto,CA
6,Anthony Bennett,4,2014,2017,"Mar 14, 1993",Toronto,CA
7,Sim Bhullar,1,2015,2015,"Dec 2, 1992",Toronto,CA
8,Khem Birch,6,2018,2023,"Sep 28, 1992",Montreal,CA
9,Oshae Brissett,4,2020,2023,"Jun 20, 1998",Toronto,CA
10,Dillon Brooks,6,2018,2023,"Jan 22, 1996",Mississauga,CA
11,Brandon Clarke,4,2020,2023,"Sep 19, 1996",Vancouver,CA
12,Ron Crevier,1,1986,1986,"Apr 14, 1958",Montreal,CA
13,Bobby Croft,1,1971,1971,"Mar 17, 1946",Hamilton,CA
14,Nate Darling,1,2021,2021,"Aug 30, 1998",Halifax,CA
15,Luguentz Dort,4,2020,2023,"Apr 19, 1999",Montreal,CA
16,Chris Duarte,2,2022,2023,"Jun 13, 1997",Montreal,CA
17,Tyler Ennis,4,2015,2018,"Aug 24, 1994",Brampton,CA
18,Rick Fox,13,1992,2004,"Jul 24, 1969",Toronto,CA
19,Shai Gilgeous-Alexander,5,2019,2023,"Jul 12, 1998",Toronto,CA
20,,,,,,,CA
21,Stewart Granger,3,1984,1987,"Oct 27, 1961",Montreal,CA
22,Bob Houbregs*,5,1954,1958,"Mar 12, 1932",Vancouver,CA
23,Caleb Houstan,1,2023,2023,"Jan 9, 2003",Mississauga,CA
24,Cory Joseph,12,2012,2023,"Aug 20, 1991",Toronto,CA
25,Kris Joseph,1,2013,2013,"Dec 17, 1988",Montreal,CA
26,Mfiondu Kabengele,2,2020,2021,"Aug 14, 1997",Toronto,CA
27,Trey Lyles,8,2016,2023,"Nov 5, 1995",Saskatoon,CA
28,Todd MacCulloch,4,2000,2003,"Jan 27, 1976",Winnipeg,CA
29,Jamaal Magloire,12,2001,2012,"May 21, 1978",Toronto,CA
30,Bennedict Mathurin,1,2023,2023,"Jun 19, 2002",Montreal,CA
31,Naz Mitrou-Long,3,2018,2020,"Aug 3, 1993",Mississauga,CA
32,Mychal Mulder,3,2020,2022,"Jun 12, 1994",Etobicoke,CA
33,Jamal Murray,6,2017,2023,"Feb 23, 1997",Kitchener,CA
34,Andrew Nembhard,1,2023,2023,"Jan 16, 2000",Aurora,CA
35,Andrew Nicholson,5,2013,2017,"Dec 8, 1989",Mississauga,CA
36,Kelly Olynyk,10,2014,2023,"Apr 19, 1991",Toronto,CA
37,Kevin Pangos,1,2022,2022,"Jan 26, 1993",Holland Landing,CA
38,Dwight Powell,9,2015,2023,"Jul 20, 1991",Toronto,CA
39,Joshua Primo,2,2022,2023,"Dec 24, 2002",Mississauga,CA
40,Xavier Rathan-Mayes,1,2018,2018,"Apr 29, 1994",Scarborough,CA
41,,,,,,,CA
42,Leo Rautins,2,1984,1985,"Mar 20, 1960",Toronto,CA
43,Shaedon Sharpe,1,2023,2023,"May 30, 2003",London,CA
44,Marial Shayok,1,2020,2020,"Jul 26, 1995",Ottawa,CA
45,Mike Smrek,7,1986,1992,"Aug 31, 1962",Welland,CA
46,Gino Sovran,1,1947,1947,"Dec 17, 1924",Windsor,CA
47,Nik Stauskas,6,2015,2022,"Oct 7, 1993",Mississauga,CA
48,Tristan Thompson,11,2012,2022,"Mar 13, 1991",Toronto,CA
49,Ernie Vandeweghe,6,1950,1956,"Sep 12, 1928",Montreal,CA
50,Bill Wennington,13,1986,2000,"Apr 26, 1963",Montreal,CA
51,Andrew Wiggins,9,2015,2023,"Feb 23, 1995",Toronto,CA
52,Lindell Wigginton,1,2022,2022,"Mar 28, 1998",Halifax,CA
53,Jim Zoet,1,1983,1983,"Dec 20, 1953",Uxbridge,CA
0,Kyle Alexander,1,2020,2020,"Oct 21, 1996",Scarborough,CA
1,Nickeil Alexander-Walker,4,2020,2023,"Sep 2, 1998",Toronto,CA
2,Joel Anthony,10,2008,2017,"Aug 9, 1982",Montreal,CA
3,Norm Baker,1,1947,1947,"Feb 17, 1923",Victoria,CA
4,Dalano Banton,2,2022,2023,"Nov 7, 1999",Toronto,CA
5,RJ Barrett,4,2020,2023,"Jun 14, 2000",Toronto,CA
6,Anthony Bennett,4,2014,2017,"Mar 14, 1993",Toronto,CA
7,Sim Bhullar,1,2015,2015,"Dec 2, 1992",Toronto,CA
8,Khem Birch,6,2018,2023,"Sep 28, 1992",Montreal,CA
9,Oshae Brissett,4,2020,2023,"Jun 20, 1998",Toronto,CA
10,Dillon Brooks,6,2018,2023,"Jan 22, 1996",Mississauga,CA
11,Brandon Clarke,4,2020,2023,"Sep 19, 1996",Vancouver,CA
12,Ron Crevier,1,1986,1986,"Apr 14, 1958",Montreal,CA
13,Bobby Croft,1,1971,1971,"Mar 17, 1946",Hamilton,CA
14,Nate Darling,1,2021,2021,"Aug 30, 1998",Halifax,CA
15,Luguentz Dort,4,2020,2023,"Apr 19, 1999",Montreal,CA
16,Chris Duarte,2,2022,2023,"Jun 13, 1997",Montreal,CA
17,Tyler Ennis,4,2015,2018,"Aug 24, 1994",Brampton,CA
18,Rick Fox,13,1992,2004,"Jul 24, 1969",Toronto,CA
19,Shai Gilgeous-Alexander,5,2019,2023,"Jul 12, 1998",Toronto,CA
20,,,,,,,CA
21,Stewart Granger,3,1984,1987,"Oct 27, 1961",Montreal,CA
22,Bob Houbregs*,5,1954,1958,"Mar 12, 1932",Vancouver,CA
23,Caleb Houstan,1,2023,2023,"Jan 9, 2003",Mississauga,CA
24,Cory Joseph,12,2012,2023,"Aug 20, 1991",Toronto,CA
25,Kris Joseph,1,2013,2013,"Dec 17, 1988",Montreal,CA
26,Mfiondu Kabengele,2,2020,2021,"Aug 14, 1997",Toronto,CA
27,Trey Lyles,8,2016,2023,"Nov 5, 1995",Saskatoon,CA
28,Todd MacCulloch,4,2000,2003,"Jan 27, 1976",Winnipeg,CA
29,Jamaal Magloire,12,2001,2012,"May 21, 1978",Toronto,CA
30,Bennedict Mathurin,1,2023,2023,"Jun 19, 2002",Montreal,CA
31,Naz Mitrou-Long,3,2018,2020,"Aug 3, 1993",Mississauga,CA
32,Mychal Mulder,3,2020,2022,"Jun 12, 1994",Etobicoke,CA
33,Jamal Murray,6,2017,2023,"Feb 23, 1997",Kitchener,CA
34,Andrew Nembhard,1,2023,2023,"Jan 16, 2000",Aurora,CA
35,Andrew Nicholson,5,2013,2017,"Dec 8, 1989",Mississauga,CA
36,Kelly Olynyk,10,2014,2023,"Apr 19, 1991",Toronto,CA
37,Kevin Pangos,1,2022,2022,"Jan 26, 1993",Holland Landing,CA
38,Dwight Powell,9,2015,2023,"Jul 20, 1991",Toronto,CA
39,Joshua Primo,2,2022,2023,"Dec 24, 2002",Mississauga,CA
40,Xavier Rathan-Mayes,1,2018,2018,"Apr 29, 1994",Scarborough,CA
41,,,,,,,CA
42,Leo Rautins,2,1984,1985,"Mar 20, 1960",Toronto,CA
43,Shaedon Sharpe,1,2023,2023,"May 30, 2003",London,CA
44,Marial Shayok,1,2020,2020,"Jul 26, 1995",Ottawa,CA
45,Mike Smrek,7,1986,1992,"Aug 31, 1962",Welland,CA
46,Gino Sovran,1,1947,1947,"Dec 17, 1924",Windsor,CA
47,Nik Stauskas,6,2015,2022,"Oct 7, 1993",Mississauga,CA
48,Tristan Thompson,11,2012,2022,"Mar 13, 1991",Toronto,CA
49,Ernie Vandeweghe,6,1950,1956,"Sep 12, 1928",Montreal,CA
50,Bill Wennington,13,1986,2000,"Apr 26, 1963",Montreal,CA
51,Andrew Wiggins,9,2015,2023,"Feb 23, 1995",Toronto,CA
52,Lindell Wigginton,1,2022,2022,"Mar 28, 1998",Halifax,CA
53,Jim Zoet,1,1983,1983,"Dec 20, 1953",Uxbridge,CA
0,Kyle Alexander,1,2020,2020,"Oct 21, 1996",Scarborough,CA
1,Nickeil Alexander-Walker,4,2020,2023,"Sep 2, 1998",Toronto,CA
2,Joel Anthony,10,2008,2017,"Aug 9, 1982",Montreal,CA
3,Norm Baker,1,1947,1947,"Feb 17, 1923",Victoria,CA
4,Dalano Banton,2,2022,2023,"Nov 7, 1999",Toronto,CA
5,RJ Barrett,4,2020,2023,"Jun 14, 2000",Toronto,CA
6,Anthony Bennett,4,2014,2017,"Mar 14, 1993",Toronto,CA
7,Sim Bhullar,1,2015,2015,"Dec 2, 1992",Toronto,CA
8,Khem Birch,6,2018,2023,"Sep 28, 1992",Montreal,CA
9,Oshae Brissett,4,2020,2023,"Jun 20, 1998",Toronto,CA
10,Dillon Brooks,6,2018,2023,"Jan 22, 1996",Mississauga,CA
11,Brandon Clarke,4,2020,2023,"Sep 19, 1996",Vancouver,CA
12,Ron Crevier,1,1986,1986,"Apr 14, 1958",Montreal,CA
13,Bobby Croft,1,1971,1971,"Mar 17, 1946",Hamilton,CA
14,Nate Darling,1,2021,2021,"Aug 30, 1998",Halifax,CA
15,Luguentz Dort,4,2020,2023,"Apr 19, 1999",Montreal,CA
16,Chris Duarte,2,2022,2023,"Jun 13, 1997",Montreal,CA
17,Tyler Ennis,4,2015,2018,"Aug 24, 1994",Brampton,CA
18,Rick Fox,13,1992,2004,"Jul 24, 1969",Toronto,CA
19,Shai Gilgeous-Alexander,5,2019,2023,"Jul 12, 1998",Toronto,CA
20,,,,,,,CA
21,Stewart Granger,3,1984,1987,"Oct 27, 1961",Montreal,CA
22,Bob Houbregs*,5,1954,1958,"Mar 12, 1932",Vancouver,CA
23,Caleb Houstan,1,2023,2023,"Jan 9, 2003",Mississauga,CA
24,Cory Joseph,12,2012,2023,"Aug 20, 1991",Toronto,CA
25,Kris Joseph,1,2013,2013,"Dec 17, 1988",Montreal,CA
26,Mfiondu Kabengele,2,2020,2021,"Aug 14, 1997",Toronto,CA
27,Trey Lyles,8,2016,2023,"Nov 5, 1995",Saskatoon,CA
28,Todd MacCulloch,4,2000,2003,"Jan 27, 1976",Winnipeg,CA
29,Jamaal Magloire,12,2001,2012,"May 21, 1978",Toronto,CA
30,Bennedict Mathurin,1,2023,2023,"Jun 19, 2002",Montreal,CA
31,Naz Mitrou-Long,3,2018,2020,"Aug 3, 1993",Mississauga,CA
32,Mychal Mulder,3,2020,2022,"Jun 12, 1994",Etobicoke,CA
33,Jamal Murray,6,2017,2023,"Feb 23, 1997",Kitchener,CA
34,Andrew Nembhard,1,2023,2023,"Jan 16, 2000",Aurora,CA
35,Andrew Nicholson,5,2013,2017,"Dec 8, 1989",Mississauga,CA
36,Kelly Olynyk,10,2014,2023,"Apr 19, 1991",Toronto,CA
37,Kevin Pangos,1,2022,2022,"Jan 26, 1993",Holland Landing,CA
38,Dwight Powell,9,2015,2023,"Jul 20, 1991",Toronto,CA
39,Joshua Primo,2,2022,2023,"Dec 24, 2002",Mississauga,CA
40,Xavier Rathan-Mayes,1,2018,2018,"Apr 29, 1994",Scarborough,CA
41,,,,,,,CA
42,Leo Rautins,2,1984,1985,"Mar 20, 1960",Toronto,CA
43,Shaedon Sharpe,1,2023,2023,"May 30, 2003",London,CA
44,Marial Shayok,1,2020,2020,"Jul 26, 1995",Ottawa,CA
45,Mike Smrek,7,1986,1992,"Aug 31, 1962",Welland,CA
46,Gino Sovran,1,1947,1947,"Dec 17, 1924",Windsor,CA
47,Nik Stauskas,6,2015,2022,"Oct 7, 1993",Mississauga,CA
48,Tristan Thompson,11,2012,2022,"Mar 13, 1991",Toronto,CA
49,Ernie Vandeweghe,6,1950,1956,"Sep 12, 1928",Montreal,CA
50,Bill Wennington,13,1986,2000,"Apr 26, 1963",Montreal,CA
51,Andrew Wiggins,9,2015,2023,"Feb 23, 1995",Toronto,CA
52,Lindell Wigginton,1,2022,2022,"Mar 28, 1998",Halifax,CA
53,Jim Zoet,1,1983,1983,"Dec 20, 1953",Uxbridge,CA
0,Kyle Alexander,1,2020,2020,"Oct 21, 1996",Scarborough,CA
1,Nickeil Alexander-Walker,4,2020,2023,"Sep 2, 1998",Toronto,CA
2,Joel Anthony,10,2008,2017,"Aug 9, 1982",Montreal,CA
3,Norm Baker,1,1947,1947,"Feb 17, 1923",Victoria,CA
4,Dalano Banton,2,2022,2023,"Nov 7, 1999",Toronto,CA
5,RJ Barrett,4,2020,2023,"Jun 14, 2000",Toronto,CA
6,Anthony Bennett,4,2014,2017,"Mar 14, 1993",Toronto,CA
7,Sim Bhullar,1,2015,2015,"Dec 2, 1992",Toronto,CA
8,Khem Birch,6,2018,2023,"Sep 28, 1992",Montreal,CA
9,Oshae Brissett,4,2020,2023,"Jun 20, 1998",Toronto,CA
10,Dillon Brooks,6,2018,2023,"Jan 22, 1996",Mississauga,CA
11,Brandon Clarke,4,2020,2023,"Sep 19, 1996",Vancouver,CA
12,Ron Crevier,1,1986,1986,"Apr 14, 1958",Montreal,CA
13,Bobby Croft,1,1971,1971,"Mar 17, 1946",Hamilton,CA
14,Nate Darling,1,2021,2021,"Aug 30, 1998",Halifax,CA
15,Luguentz Dort,4,2020,2023,"Apr 19, 1999",Montreal,CA
16,Chris Duarte,2,2022,2023,"Jun 13, 1997",Montreal,CA
17,Tyler Ennis,4,2015,2018,"Aug 24, 1994",Brampton,CA
18,Rick Fox,13,1992,2004,"Jul 24, 1969",Toronto,CA
